@relation 'defaults'
@attribute 'C' numeric
@attribute 'coef0' numeric
@attribute 'degree' numeric
@attribute 'gamma' numeric
@attribute 'kernel' {'poly','sigmoid','rbf'}
@attribute 'strategy' {'mean','median','most_frequent'}
@attribute 'shrinking' {'True','False'}
@attribute 'tol' numeric
@data
32014.3289994905,0.109139451291412,2,0.000237360532081642,"rbf","most_frequent","True",7.17586957449631e-05
0.334640855660295,0.857240227982402,1,0.0134755526767718,"poly","most_frequent","True",0.00447420678831034
32586.0420255382,0.75579241104424,3,0.00387814594787437,"rbf","most_frequent","False",1.64760815349849e-05
3.65732472802358,0.533926395233721,1,0.00424048620174921,"rbf","median","False",0.0290517363341062
0.519803239250002,-0.870003589894623,1,0.00322548841226276,"sigmoid","mean","True",0.00299477442867731
2.17167550114382,0.722337221726775,3,7.75400311742182,"rbf","mean","True",0.000981419871970884
32400.0891511221,-0.966275123879313,1,0.000152690559719428,"sigmoid","most_frequent","True",0.00449583905952378
12.6153765770305,-0.272687808610499,1,0.107045547281216,"rbf","median","False",0.000109476649397532
833.278088622585,-0.969235912896693,2,0.000227300818122709,"rbf","median","False",0.00114613158103086
17042.2165520303,0.943226482719183,5,0.0510930387230148,"poly","most_frequent","True",1.26462895837425e-05
27.384703485633,-0.711536798160523,1,6.1131220310548e-05,"rbf","mean","True",7.44077705760832e-05
32305.7457741345,0.931854691356421,2,0.0315629348259466,"poly","most_frequent","False",1.49375292180279e-05
29.0590839700096,-0.975562966894358,4,9.56488720872697e-05,"sigmoid","mean","True",0.0264499302761144
31360.919000038,0.985862018540502,4,0.0123212342487728,"poly","most_frequent","True",2.71017200067724e-05
25516.6564413471,0.734907476697117,5,0.000196798147023156,"poly","most_frequent","True",0.0480459567317968
7.72731376456666,0.716168209444731,4,0.009041045084499,"rbf","median","True",7.50057377906621e-05
3.48667558722782,-0.699626259505749,5,0.00237234555695237,"rbf","mean","False",1.89259263506637e-05
29402.3836034439,0.797303966246545,3,0.00665402113598362,"poly","most_frequent","True",5.79071681437265e-05
0.0867550736772486,-0.185414195992053,1,0.00337108025607865,"sigmoid","mean","False",0.00978471212445791
707.250896784867,0.810942746698856,5,0.0100667171602332,"poly","median","True",0.0994077474083156
1.16593344676693,0.871939388103783,5,0.152216807908952,"rbf","mean","False",4.64076643946845e-05
2.78121478147289,-0.146670469548553,3,0.574955633336498,"rbf","median","False",0.00951244236997929
19087.7410699292,0.808467886410654,5,0.000353975452753158,"poly","most_frequent","True",0.000270958796919627
29830.651329474,0.969907873310149,5,0.0430151436852081,"poly","most_frequent","True",3.17421566522249e-05
0.0537333695944189,0.904964473564178,1,0.000115155062963273,"sigmoid","most_frequent","True",7.98958800169021e-05
8674.44347104265,0.982581195887178,5,0.00055834543477702,"poly","median","False",1.56355521667437e-05
22259.6575913692,-0.680663586128503,3,0.0194913701973531,"poly","most_frequent","False",0.000613610319092529
36.6855290797061,-0.91198305785656,1,0.000112113634864441,"sigmoid","mean","True",4.63900818424686e-05
28126.4907853521,0.135646363720298,4,0.000105000192629023,"poly","mean","True",2.58747994578304e-05
48.9011433068484,-0.721285964827985,3,0.269292965765249,"rbf","most_frequent","True",1.21891551902548e-05
1820.39520756452,0.956656042486429,5,0.0203901903867243,"poly","most_frequent","False",0.0161920802991569
0.0670681754829963,0.948143993970007,1,3.62166609008598e-05,"sigmoid","median","False",0.000588027320779932
