@relation 'defaults'
@attribute 'alpha' numeric
@attribute 'lambda' numeric
@data
0.987913761520758,0.00924290006693874
0.460378186311573,0.125722072689348
0.782476873602718,0.00097694138906742
0.778605235973373,0.0893673297663777
0.61268421029672,0.00686841696572102
0.203860664041713,0.0139983619546018
0.512022881535813,0.0011369557687513
0.207129449816421,0.678685344102669
0.0352794274222106,0.777318402888704
0.171168439788744,0.775133759270534
0.0341810656245798,0.766665529657333
0.86121576000005,0.000985767117512111
0.857369595440105,0.000979264995673366
0.975880474317819,0.00097660105686231
0.861357226967812,0.000981579538907227
0.454427304677665,0.00915546424740022
0.341568351257592,1.33560462562781
0.82396847079508,23.4958151794344
0.861231184797361,0.000978072009002182
0.856338403187692,0.000976779228751117
0.785531804896891,0.00348605318463174
0.449233430204913,4.08986873855397
0.977154586696997,0.000976566323466504
0.584325921488926,294.778804582923
0.370349154807627,0.00114860216756601
0.40945530612953,0.0843283418014488
0.240755912847817,23.2365182543545
0.941241462482139,681.382957586645
0.611582873621956,57.1167235111425
0.398404196137562,717.969526086106
0.0848388597369194,0.00173662700846845
0.278583606006578,7.25081766771657
