@relation 'defaults'
@attribute 'nrounds' numeric
@attribute 'eta' numeric
@attribute 'subsample' numeric
@attribute 'booster' {'gbtree','gblinear'}
@attribute 'max_depth' numeric
@attribute 'min_child_weight' numeric
@attribute 'colsample_bytree' numeric
@attribute 'colsample_bylevel' numeric
@attribute 'lambda' numeric
@attribute 'alpha' numeric
@data
4644,0.00819030776921241,0.98189058911521,"gbtree",11,3.30211398028911,0.975112942280248,0.900281961774454,0.0606888538372926,0.00235082528045995
622,0.611975333230901,0.999238855717704,"gbtree",10,14.1534257531302,0.994240460917354,0.147260633064434,7.89245421772345,0.0067560406637444
4781,0.0123084371696687,0.879994458961301,"gbtree",15,1.31868680543373,0.975579330464825,0.681130655342713,0.0835013534870316,0.00652294561559624
4142,0.547488321042582,0.990447873133235,"gbtree",15,14.3104313761675,0.874578954884782,0.25628404552117,0.0450093220552306,0.0623781781509278
3855,0.00918503216322388,0.997120982641354,"gbtree",15,1.35229433527654,0.979502344271168,0.756971552036703,0.0250901813000672,0.0120440567294692
4573,0.0130087936029465,0.967716123024002,"gbtree",11,1.19811702284602,0.993646394461393,0.943529706215486,0.868814911509949,0.0140799377369938
2398,0.00340923067619276,0.239637601957656,"gblinear",-11,-11,-11,-11,15.9706593898304,8.46699704890455
170,0.035108635571146,0.709416584647261,"gbtree",13,4.61436383411101,0.893066778080538,0.239774267887697,92.9163340271829,0.0111934276210931
2945,0.00825899445074506,0.374275522516109,"gbtree",8,42.7159453980143,0.258050931384787,0.23830607556738,104.853273483838,0.0178402083879223
1448,0.242704024008597,0.498124452191405,"gbtree",1,3.37589192638334,0.22496140981093,0.364673364907503,14.6697131357363,0.566122693929541
3004,0.00160545142960816,0.758587119425647,"gblinear",-11,-11,-11,-11,0.0143725487834999,0.00221656538107721
2164,0.0595655704276448,0.675120342848822,"gblinear",-11,-11,-11,-11,249.204899049869,0.194444316583178
4611,0.00669946393215993,0.660851853806525,"gblinear",-11,-11,-11,-11,0.872418591191585,0.112435854988785
4821,0.476604347747315,0.75589956715703,"gbtree",8,4.49054142082549,0.233596356818452,0.185789716197178,107.539478684298,0.0990768530848405
4145,0.0103929650457687,0.949156482820399,"gbtree",11,1.50828756211921,0.94904680037871,0.945523172384128,0.00251428314922068,0.00789897321575713
4839,0.0154306997145039,0.809674540557899,"gbtree",15,2.42434456022609,0.857365766074508,0.960135955596343,0.17895537489957,0.0385051612494622
3153,0.158411640218838,0.568526667053811,"gblinear",-11,-11,-11,-11,0.0197164213106073,4.62821155191802
3025,0.00258386049868268,0.501464140415192,"gblinear",-11,-11,-11,-11,630.311654572362,0.00706956781359382
4379,0.011171266349985,0.135861108754762,"gbtree",11,2.09791946827891,0.504545296076685,0.253564576385543,0.144850968362871,23.8323595575197
1014,0.0352216519995434,0.27332719701808,"gblinear",-11,-11,-11,-11,0.00184547381412159,0.187144512303494
1352,0.0373658258363563,0.188799717416987,"gblinear",-11,-11,-11,-11,59.5963155698,795.783693666785
2959,0.00136197626269431,0.418679628544487,"gblinear",-11,-11,-11,-11,0.127522033248374,0.0935237115466645
4708,0.00379477473706676,0.999548724619672,"gbtree",15,1.2869480027751,0.880388381890953,0.996189880184829,0.0056378353357326,0.058022980423994
2334,0.00144694303155767,0.428300829208456,"gblinear",-11,-11,-11,-11,0.101301061975694,59.4850517168752
4125,0.0920072089964419,0.373960401304066,"gblinear",-11,-11,-11,-11,48.315769553308,27.656820650347
2944,0.00188746931513487,0.110835994710214,"gbtree",10,1.13363940754904,0.984195065451786,0.735741456970572,104.321157109081,5.89910810258662
2130,0.503304012249769,0.414270983217284,"gblinear",-11,-11,-11,-11,51.251155263351,34.1521368134645
4640,0.00847668495423321,0.814471561368555,"gbtree",13,53.6882909163018,0.0157443447969854,0.149728130083531,0.0384100453371631,0.00114998680103972
4843,0.00681087497460988,0.976306589110754,"gbtree",15,1.19797626020455,0.875843127723783,0.913880419917405,0.033179385388708,0.046741050184747
613,0.0436065936896883,0.432969337212853,"gbtree",6,10.9244138797574,0.851613248698413,0.504925719927996,0.00126751388979255,0.73560176695456
1988,0.00149325563058261,0.104347988427617,"gblinear",-11,-11,-11,-11,10.1522104942686,99.7184727330801
1897,0.00130166959006974,0.300975275947712,"gblinear",-11,-11,-11,-11,0.00500186521875619,0.0236760568181323
