,configuration_specification,evaluation,flow_id,strategy_name,task_id
0,8,0.708125,8654,greedy__1,9954
0,8,0.7460013670539987,8654,greedy__1,37
0,8,0.8710144927536232,8654,greedy__1,125923
0,8,0.912962962962963,8654,greedy__1,9980
0,8,0.5880000000000001,8654,greedy__1,125920
0,8,0.588125,8654,greedy__1,9955
0,8,0.7777871148459383,8654,greedy__1,53
0,8,0.8314814814814815,8654,greedy__1,14968
0,8,0.7204559748427675,8654,greedy__1,9956
0,8,0.9855289689474391,8654,greedy__1,21
0,8,0.8121915820029028,8654,greedy__1,3913
0,8,1.0,8654,greedy__1,24
0,8,0.866397124887691,8654,greedy__1,9957
0,8,1.0,8654,greedy__1,14967
0,8,0.9472838050314467,8654,greedy__1,9964
0,8,1.0,8654,greedy__1,9979
0,8,0.8458257713248638,8654,greedy__1,9950
0,8,0.9552320098085447,8654,greedy__1,43
0,8,0.9489500000000002,8654,greedy__1,6
0,8,0.9956171630094044,8654,greedy__1,3
0,8,0.9356564364876385,8654,greedy__1,41
0,8,0.7408858166922683,8654,greedy__1,11
0,8,0.9979166666666666,8654,greedy__1,49
0,8,0.841,8654,greedy__1,14
0,8,0.896454398914383,8654,greedy__1,14964
0,8,0.9089587184226738,8654,greedy__1,9952
0,8,0.9684180497925311,8654,greedy__1,3485
0,8,0.9549999999999998,8654,greedy__1,3492
0,8,1.0,8654,greedy__1,9967
0,8,0.9762101887073917,8654,greedy__1,34536
0,8,0.9248200000000001,8654,greedy__1,3946
0,8,0.9959690156937864,8654,greedy__1,9960
0,8,0.9440630073144567,8654,greedy__1,34539
0,8,0.9870129870129869,8654,greedy__1,36
0,8,0.9933333333333334,8654,greedy__1,3493
0,8,0.764,8654,greedy__1,31
0,8,0.6450949386559689,8654,greedy__1,14969
0,8,0.9400000000000001,8654,greedy__1,3512
0,8,0.9883636363636364,8654,greedy__1,125922
0,8,1.0,8654,greedy__1,3567
0,8,0.679155868196964,8654,greedy__1,2079
0,8,0.985122255873244,8654,greedy__1,9914
0,8,0.9800974025974026,8654,greedy__1,3494
0,8,0.788076923076923,8654,greedy__1,9976
0,8,0.19333860759493673,8654,greedy__1,3560
